id,web_name,team,element_type,now_cost,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,total_points,selected_by_percent,form,points_per_game,value_season,transfers_in,transfers_out,status,chance_of_playing_next_round,position,fixture_difficulty,id_team,team_name
22,Tomiyasu,1,2,4.8,6,0,0,0,0,0,0,0,0,0,0,0,2,0.4,0.3,9.0,1.0,1,0.0,0.0,1.0,0.2,1839,7916,i,0.0,DEF,2.888888888888889,1,Arsenal
23,Trossard,1,3,6.8,1899,4,6,9,18,0,0,0,2,1,0,10,382,405.2,503.3,544.0,144.9,100,3.1,3.0,3.4,14.7,820756,740822,a,100.0,MID,2.888888888888889,1,Arsenal
24,White,1,2,6.1,703,0,1,3,7,0,0,0,2,0,0,0,117,133.4,57.3,35.0,22.5,29,2.1,0.4,2.6,4.8,154108,989173,a,100.0,DEF,2.888888888888889,1,Arsenal
25,Zinchenko,1,2,4.8,292,0,0,2,0,0,0,0,1,0,0,0,72,25.2,33.3,39.0,9.7,19,0.9,0.4,1.9,4.0,94168,314098,a,100.0,DEF,2.888888888888889,1,Arsenal
73,Neto,1,1,4.1,180,0,0,0,2,0,0,0,0,0,11,0,30,77.8,0.0,0.0,7.8,7,0.7,0.0,3.5,1.7,90347,253080,a,100.0,GKP,2.888888888888889,1,Arsenal
186,Sterling,1,3,6.7,303,0,1,1,2,0,0,0,1,0,0,0,37,39.8,81.2,99.0,21.8,17,0.8,1.0,1.4,2.5,53262,161652,a,100.0,MID,2.888888888888889,1,Arsenal
578,Calafiori,1,2,5.8,921,2,1,1,12,0,0,0,4,0,0,1,133,249.6,116.2,174.0,53.9,37,1.3,0.6,2.2,6.4,245233,404922,a,100.0,DEF,2.888888888888889,1,Arsenal
597,Lewis-Skelly,1,3,4.5,762,1,0,4,7,0,0,0,2,2,0,0,132,119.6,89.8,39.0,24.5,22,0.3,1.0,1.6,4.9,71384,46362,a,100.0,MID,2.888888888888889,1,Arsenal
633,Merino,1,3,6.0,1140,5,1,4,11,0,0,0,2,0,0,5,242,327.8,210.0,391.0,92.8,68,0.8,5.8,3.2,11.3,145188,61401,a,100.0,MID,2.888888888888889,1,Arsenal
638,Oulad M'hand,1,3,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2529,2110,a,,MID,2.888888888888889,1,Arsenal
639,Setford,1,1,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.1,0.0,0.0,0.0,4070,4451,a,,GKP,2.888888888888889,1,Arsenal
657,Kacurri,1,2,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.1,0.0,0.0,0.0,11257,9849,u,0.0,DEF,2.888888888888889,1,Arsenal
659,Kabia,1,3,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2878,2347,a,,MID,2.888888888888889,1,Arsenal
662,Nichols,1,2,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.1,0.0,0.0,0.0,5766,4275,a,,DEF,2.888888888888889,1,Arsenal
665,Butler-Oyedeji,1,4,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.2,0.0,0.0,0.0,56924,44434,a,,FWD,2.888888888888889,1,Arsenal
735,Arteta,1,5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,3.5,5.6,0.0,32.0,112723,76536,a,,,2.888888888888889,1,Arsenal
756,Porter,1,1,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1066,407,a,,GKP,2.888888888888889,1,Arsenal
28,Bailey,2,3,6.2,1131,1,2,2,19,0,0,0,3,0,0,2,169,144.4,234.8,323.0,69.8,46,0.8,0.4,2.0,7.4,180221,465020,a,100.0,MID,3.0,2,Aston Villa
29,Barkley,2,3,5.2,544,3,1,1,9,0,0,0,3,0,0,5,150,203.4,115.5,185.0,50.3,40,0.2,0.0,2.5,7.7,26043,90936,d,50.0,MID,3.0,2,Aston Villa
30,Barrenechea,2,3,4.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,872,5317,u,0.0,MID,3.0,2,Aston Villa
31,Buendia,2,3,5.1,89,0,0,0,2,0,0,0,1,0,0,0,37,16.4,23.2,16.0,5.2,11,0.1,0.0,0.9,2.2,6966,16802,u,0.0,MID,3.0,2,Aston Villa
32,Cash,2,2,4.4,1395,1,1,2,18,0,0,0,6,0,0,1,143,247.8,133.9,111.0,49.3,41,0.9,0.6,2.2,9.3,202887,424197,a,100.0,DEF,3.0,2,Aston Villa
33,Dendoncker,2,3,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.2,0.0,0.0,0.0,18187,93415,u,0.0,MID,3.0,2,Aston Villa
34,Diaby,2,3,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,3412,u,0.0,MID,3.0,2,Aston Villa
35,Diego Carlos,2,2,4.5,828,0,0,2,15,0,0,0,1,0,0,1,69,150.6,9.2,54.0,21.5,21,0.3,0.0,2.1,4.7,50956,94404,u,0.0,DEF,3.0,2,Aston Villa
36,Digne,2,2,4.5,2059,0,5,4,34,0,0,0,3,0,0,6,321,454.0,533.6,112.0,109.9,75,6.3,2.4,2.7,16.7,1946786,1561416,a,,DEF,3.0,2,Aston Villa
37,Dobbin,2,3,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,294,u,0.0,MID,3.0,2,Aston Villa
38,Duran,2,4,5.7,622,7,0,2,14,0,0,0,3,1,0,9,222,273.8,68.9,334.0,67.5,53,1.7,0.0,2.6,9.3,1376643,1328799,u,0.0,FWD,3.0,2,Aston Villa
39,Gauci,2,1,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.6,0.0,0.0,0.0,63380,72286,u,0.0,GKP,3.0,2,Aston Villa
40,Hause,2,2,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.6,0.0,0.0,0.0,60347,70961,a,,DEF,3.0,2,Aston Villa
41,Iling Jr,2,3,5.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,342,6747,u,0.0,MID,3.0,2,Aston Villa
42,Kamara,2,3,5.0,1077,0,0,2,18,0,0,0,2,0,0,1,179,214.4,110.7,34.0,36.1,30,0.0,0.4,1.8,6.0,8828,7686,a,100.0,MID,3.0,2,Aston Villa
43,Kesler-Hayden,2,2,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1658,u,0.0,DEF,3.0,2,Aston Villa
44,Konsa,2,2,4.4,2171,1,0,3,39,0,0,0,0,0,0,6,277,379.6,84.3,88.0,55.2,59,5.0,1.8,2.4,13.4,1039370,1773469,a,100.0,DEF,3.0,2,Aston Villa
45,Maatsen,2,2,4.5,604,0,1,0,12,0,0,0,2,0,0,0,88,141.6,228.9,112.0,48.3,24,1.2,1.0,1.1,5.3,88766,335900,a,100.0,DEF,3.0,2,Aston Villa
46,Marschall,2,1,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,86,u,0.0,GKP,3.0,2,Aston Villa
47,Martinez,2,1,5.0,2430,0,0,3,41,0,1,0,2,0,73,2,296,614.2,0.0,0.0,61.5,73,11.0,1.6,2.6,14.6,1423469,1700542,a,100.0,GKP,3.0,2,Aston Villa
48,McGinn,2,3,5.2,1775,0,3,4,32,0,0,0,6,0,0,1,255,178.4,386.5,172.0,73.4,53,0.6,1.8,2.1,10.2,104422,265616,a,100.0,MID,3.0,2,Aston Villa
49,Mings,2,2,4.4,780,0,1,2,9,0,0,0,1,0,0,5,138,178.4,35.1,51.0,26.6,31,0.1,3.0,3.1,7.0,30039,26903,a,100.0,DEF,3.0,2,Aston Villa
50,Nedeljkovic,2,2,3.9,121,0,0,0,4,0,0,0,0,0,0,0,11,22.8,7.2,0.0,3.0,5,0.6,0.0,1.0,1.3,256190,250669,u,0.0,DEF,3.0,2,Aston Villa
51,Olsen,2,1,4.5,180,0,0,1,4,0,0,0,0,0,5,0,21,37.0,0.0,0.0,3.7,8,0.1,1.4,2.7,1.8,11788,15984,a,100.0,GKP,3.0,2,Aston Villa
52,Pau,2,2,4.2,1549,0,0,2,29,0,0,0,1,0,0,0,162,261.2,55.5,94.0,41.2,32,0.7,0.0,1.8,7.6,234080,323240,a,100.0,DEF,3.0,2,Aston Villa
53,Ramsey,2,3,5.4,1245,1,3,2,23,0,0,0,1,0,0,3,208,190.8,208.4,187.0,58.6,52,0.4,2.2,2.5,9.6,102642,106011,a,100.0,MID,3.0,2,Aston Villa
54,Rogers,2,3,5.5,2337,7,5,5,36,0,0,0,8,0,0,11,367,502.0,525.3,531.0,155.9,113,16.2,3.2,4.0,20.5,5511468,4673107,a,100.0,MID,3.0,2,Aston Villa
55,Sinisalo,2,1,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,84,u,0.0,GKP,3.0,2,Aston Villa
56,Sousa,2,2,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,19035,u,0.0,DEF,3.0,2,Aston Villa
57,Tielemans,2,3,5.5,2491,2,4,4,40,0,0,1,4,0,0,9,540,629.6,813.9,220.0,166.4,85,1.2,3.8,2.9,15.5,329653,314885,a,,MID,3.0,2,Aston Villa
58,Watkins,2,4,8.9,2052,13,6,7,35,0,0,0,0,0,0,24,497,616.0,288.6,958.0,184.6,147,18.1,6.2,5.1,16.5,4398965,6050336,a,100.0,FWD,3.0,2,Aston Villa
167,Disasi,2,2,4.2,723,1,0,3,10,0,0,0,2,0,0,0,120,154.0,64.2,50.0,26.9,30,0.5,1.6,3.0,7.1,102075,105064,a,100.0,DEF,3.0,2,Aston Villa
233,Onana,2,3,4.8,1078,2,0,2,21,0,0,0,4,0,0,5,199,229.2,107.2,180.0,51.8,41,2.1,0.0,2.4,8.5,1442221,1477905,a,100.0,MID,3.0,2,Aston Villa
385,Rashford,2,3,6.7,1175,4,4,5,14,0,0,0,2,0,0,8,263,314.2,360.2,254.0,93.0,74,4.8,4.0,3.7,11.0,1251288,1247785,a,100.0,MID,3.0,2,Aston Villa
598,Bogarde,2,2,4.0,473,0,0,0,11,0,0,0,2,0,0,0,22,84.8,33.3,15.0,13.3,6,0.3,0.4,0.8,1.5,63030,54615,a,,DEF,3.0,2,Aston Villa
640,Swinkels,2,2,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.1,0.0,0.0,0.0,8500,7994,u,0.0,DEF,3.0,2,Aston Villa
641,Zych,2,1,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.5,0.0,0.0,0.0,83435,49925,a,,GKP,3.0,2,Aston Villa
656,Young,2,3,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.2,0.0,0.0,0.0,59513,49315,u,0.0,MID,3.0,2,Aston Villa
679,Broggio,2,3,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2015,1476,a,,MID,3.0,2,Aston Villa
710,Jimoh,2,3,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,453,262,a,,MID,3.0,2,Aston Villa
725,Malen,2,3,5.4,168,0,0,0,3,0,0,0,0,0,0,0,21,24.2,16.2,77.0,11.7,7,0.1,1.0,1.2,1.3,27654,20770,a,,MID,3.0,2,Aston Villa
731,A. Garcia,2,2,4.5,266,0,0,0,5,0,0,0,0,0,0,0,17,31.2,50.4,7.0,8.8,6,0.1,1.0,1.2,1.3,11965,6702,a,,DEF,3.0,2,Aston Villa
737,Emery,2,5,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,36,1.5,6.4,0.0,45.0,239361,197669,a,,,3.0,2,Aston Villa
762,M.Asensio,2,3,6.1,205,2,0,0,5,0,0,0,0,0,0,3,62,85.6,57.9,85.0,22.9,19,2.1,3.8,4.8,3.1,358087,126002,a,,MID,3.0,2,Aston Villa
59,Aarons,3,2,4.3,84,0,0,1,0,0,0,0,0,0,0,0,31,13.2,3.2,0.0,1.7,8,0.1,0.0,2.7,1.9,12506,28501,u,0.0,DEF,2.888888888888889,3,Bournemouth
60,Adams,3,3,4.9,1239,0,3,3,21,0,0,0,4,0,0,1,210,296.8,154.8,49.0,50.2,41,0.1,1.8,2.2,8.4,15251,9435,a,100.0,MID,2.888888888888889,3,Bournemouth
61,Anthony,3,3,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.1,0.0,0.0,0.0,8381,46314,u,0.0,MID,2.888888888888889,3,Bournemouth
62,Brooks,3,3,4.9,722,2,1,2,9,0,0,0,3,0,0,2,166,157.4,208.3,232.0,59.1,43,0.0,1.4,2.0,8.8,8473,6828,a,100.0,MID,2.888888888888889,3,Bournemouth
63,Christie,3,3,4.9,2057,2,3,8,27,0,0,0,9,0,0,5,420,500.0,537.4,290.0,133.0,75,0.2,3.8,2.7,15.3,49460,51669,a,100.0,MID,2.888888888888889,3,Bournemouth
64,Cook,3,3,5.0,2391,1,3,4,34,0,0,0,6,0,0,2,422,512.8,616.2,93.0,122.2,68,0.2,1.8,2.4,13.6,57733,55890,a,100.0,MID,2.888888888888889,3,Bournemouth
65,Enes Ünal,3,4,5.4,330,2,1,2,3,0,0,0,2,0,0,4,97,104.0,56.1,207.0,35.9,32,0.1,0.0,1.9,5.9,46931,47013,i,0.0,FWD,2.888888888888889,3,Bournemouth
66,Faivre,3,3,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,23,1453,u,0.0,MID,2.888888888888889,3,Bournemouth
67,H.Traorè,3,3,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,3525,19297,u,0.0,MID,2.888888888888889,3,Bournemouth
68,Hill,3,2,3.9,420,0,1,1,8,0,0,0,1,0,0,0,50,87.2,27.6,29.0,14.5,16,0.6,0.6,1.8,4.1,108836,91476,a,100.0,DEF,2.888888888888889,3,Bournemouth
69,Jebbison,3,4,4.5,61,0,0,0,1,0,0,0,1,0,0,0,26,20.0,37.0,36.0,9.3,8,1.1,0.6,0.9,1.8,459826,540286,a,100.0,FWD,2.888888888888889,3,Bournemouth
70,Kerkez,3,2,5.2,2537,2,6,6,36,0,0,0,4,0,0,8,420,567.6,447.6,196.0,121.1,105,18.1,3.0,3.6,20.2,2554494,609263,a,100.0,DEF,2.888888888888889,3,Bournemouth
71,Kluivert,3,3,6.2,1934,12,6,10,26,0,0,0,6,0,0,14,494,680.4,591.6,692.0,196.6,147,35.2,4.8,5.2,23.7,4939027,1043028,a,100.0,MID,2.888888888888889,3,Bournemouth
72,Mepham,3,2,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,287,6284,u,0.0,DEF,2.888888888888889,3,Bournemouth
74,O.Dango,3,3,5.1,1510,7,4,5,17,0,0,0,1,0,0,7,367,543.4,365.1,629.0,153.5,99,4.2,2.6,3.8,19.4,766275,297618,a,100.0,MID,2.888888888888889,3,Bournemouth
75,Paulsen,3,1,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,2961,u,0.0,GKP,2.888888888888889,3,Bournemouth
76,Philip,3,3,4.8,176,0,0,0,4,0,0,0,1,0,0,0,52,54.0,102.4,47.0,20.4,10,0.0,0.0,1.0,2.1,6119,11141,u,0.0,MID,2.888888888888889,3,Bournemouth
77,Scott,3,3,4.7,371,0,0,1,5,0,0,0,1,0,0,0,71,91.8,96.2,43.0,23.2,15,0.0,0.8,1.2,3.2,2857,6451,a,100.0,MID,2.888888888888889,3,Bournemouth
78,Semenyo,3,3,5.7,2465,7,5,7,33,0,0,0,9,0,0,7,390,573.2,531.5,998.0,209.5,111,9.0,1.8,4.0,19.5,3166333,2362113,a,100.0,MID,2.888888888888889,3,Bournemouth
79,Senesi,3,2,4.6,917,0,0,1,15,0,0,0,4,0,0,3,82,221.0,78.7,29.0,33.1,21,0.3,0.0,1.9,4.6,66758,146036,d,50.0,DEF,2.888888888888889,3,Bournemouth
80,Sinisterra,3,3,4.8,229,1,1,0,4,0,0,0,0,0,0,2,90,112.0,115.3,195.0,42.3,23,0.1,0.8,1.9,4.8,69069,82436,d,75.0,MID,2.888888888888889,3,Bournemouth
81,Smith,3,2,4.4,1032,0,0,3,13,0,0,0,4,0,0,0,93,116.2,62.2,8.0,18.6,34,0.1,0.0,2.0,7.7,27917,39809,i,0.0,DEF,2.888888888888889,3,Bournemouth
83,Tavernier,3,3,5.4,1500,3,6,3,23,0,0,0,5,0,0,3,282,392.4,532.0,389.0,131.3,72,0.4,3.2,3.3,13.3,119428,108854,a,100.0,MID,2.888888888888889,3,Bournemouth
84,Travers,3,1,4.4,450,0,0,1,5,0,0,0,0,0,20,1,76,146.4,0.0,0.0,14.6,19,0.1,0.0,3.8,4.3,19149,27435,u,0.0,GKP,2.888888888888889,3,Bournemouth
85,Zabarnyi,3,2,4.4,2364,0,0,6,32,0,0,0,3,1,0,3,315,501.4,136.3,44.0,68.4,65,0.5,0.2,2.4,14.8,113303,109670,a,100.0,DEF,2.888888888888889,3,Bournemouth
152,Arrizabalaga,3,1,4.6,1980,0,0,5,29,0,0,0,3,0,76,4,279,563.2,10.2,4.0,57.6,72,3.1,1.6,3.3,15.7,603378,328777,a,100.0,GKP,2.888888888888889,3,Bournemouth
580,Huijsen,3,2,4.5,1690,2,0,5,21,0,0,0,6,0,0,11,317,563.8,156.3,145.0,86.5,71,4.7,1.2,3.1,15.8,764175,274052,a,,DEF,2.888888888888889,3,Bournemouth
592,J.Araujo,3,2,4.3,352,0,0,0,7,0,0,0,1,0,0,0,11,40.0,7.9,2.0,5.1,8,0.1,0.0,1.0,1.9,11085,24627,d,50.0,DEF,2.888888888888889,3,Bournemouth
599,Dennis,3,1,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.3,0.0,0.0,0.0,39144,36656,a,,GKP,2.888888888888889,3,Bournemouth
617,Evanilson,3,4,5.7,1541,6,4,8,21,0,0,1,0,0,0,14,339,294.6,248.6,688.0,122.7,89,3.2,2.2,4.0,15.6,1239235,903690,a,100.0,FWD,2.888888888888889,3,Bournemouth
680,Kinsey,3,2,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6040,3913,a,,DEF,2.888888888888889,3,Bournemouth
687,Winterburn,3,3,4.5,9,0,0,0,0,0,0,0,0,0,0,0,6,0.2,0.0,0.0,0.0,2,0.0,0.0,1.0,0.4,3030,2196,a,,MID,2.888888888888889,3,Bournemouth
702,Harris,3,2,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2777,1517,a,,DEF,2.888888888888889,3,Bournemouth
707,Rees-Dottin,3,4,4.5,1,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,1,0.1,0.0,1.0,0.2,17460,11302,a,,FWD,2.888888888888889,3,Bournemouth
712,Akinmboni,3,2,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1340,706,a,,DEF,2.888888888888889,3,Bournemouth
713,Soler,3,2,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2997,1278,a,100.0,DEF,2.888888888888889,3,Bournemouth
722,Adu-Adjei,3,4,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,7488,3412,a,,FWD,2.888888888888889,3,Bournemouth
723,Sadi,3,3,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,557,283,a,,MID,2.888888888888889,3,Bournemouth
727,McKenna,3,1,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,967,460,a,,GKP,2.888888888888889,3,Bournemouth
728,Silcott-Duberry,3,3,4.5,1,0,0,0,0,0,0,0,0,0,0,0,5,2.0,1.0,0.0,0.3,1,0.0,0.0,1.0,0.2,421,226,a,,MID,2.888888888888889,3,Bournemouth
738,Iraola,3,5,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,29,6.7,3.2,0.0,26.4,66399,76889,a,,,2.888888888888889,3,Bournemouth
86,Ajer,4,2,4.4,1206,0,0,2,19,0,0,0,4,0,0,0,97,165.4,113.6,127.0,40.6,28,0.2,3.4,1.8,6.4,39885,60691,a,100.0,DEF,3.2222222222222223,4,Brentford
87,Brierley,4,3,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.1,0.0,0.0,0.0,14054,15759,a,100.0,MID,3.2222222222222223,4,Brentford
88,Collins,4,2,4.5,2610,2,5,5,45,0,0,0,4,0,0,5,401,791.6,119.6,248.0,116.0,90,3.0,3.6,3.1,20.0,664776,415786,a,,DEF,3.2222222222222223,4,Brentford
89,Damsgaard,4,3,5.1,2217,2,9,8,32,0,0,0,2,0,0,10,506,628.8,808.3,286.0,172.3,108,1.9,3.6,3.7,21.2,482955,291243,a,100.0,MID,3.2222222222222223,4,Brentford
90,Dasilva,4,3,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,409,1107,i,0.0,MID,3.2222222222222223,4,Brentford
91,Flekken,4,1,4.4,2465,0,1,4,43,0,0,0,1,0,122,5,439,1022.6,20.3,0.0,104.0,96,10.0,5.2,3.4,21.8,1509860,1503714,a,100.0,GKP,3.2222222222222223,4,Brentford
92,Henry,4,2,4.3,3,0,0,0,0,0,0,0,0,0,0,0,3,1.0,0.3,0.0,0.1,1,0.0,0.0,1.0,0.2,2110,7942,d,25.0,DEF,3.2222222222222223,4,Brentford
93,Hickey,4,2,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,693,3023,d,25.0,DEF,3.2222222222222223,4,Brentford
94,Janelt,4,3,4.9,2098,1,3,6,36,2,0,0,3,0,0,2,361,326.8,264.0,127.0,71.8,68,0.2,2.0,2.4,13.9,112491,114388,a,100.0,MID,3.2222222222222223,4,Brentford
